date,n1,n2,n3,n4,n5,n6,supp1,supp2
2024-01-17,15,20,21,29,34,44,11,33
2024-01-24,13,18,20,25,30,43,26,33
2024-01-31,4,14,26,31,34,38,15,37
2024-02-14,20,30,35,36,40,45,12,33
2024-02-21,6,12,13,24,26,34,32,33
2024-02-28,1,15,17,29,30,35,22,44
2024-03-13,3,4,28,30,35,44,13,19
2024-03-27,1,6,8,13,30,33,14,21
2024-04-03,9,16,20,26,35,45,12,22
2024-04-10,5,23,26,29,34,44,16,20
2024-05-01,7,10,16,34,36,42,11,17
2024-05-08,4,15,28,37,38,43,16,33
2024-05-22,3,16,20,21,32,36,35,43
2024-06-12,10,13,19,27,29,36,30,38
2024-09-04,9,22,31,35,42,45,3,21
2024-09-18,2,4,18,23,24,30,26,40
2024-10-02,3,14,33,40,43,45,20,21
2024-10-09,7,13,14,29,39,43,1,23
2024-10-16,5,20,25,26,39,42,17,36
2024-10-30,3,6,7,11,28,35,5,44
2024-11-06,18,23,25,30,39,42,17,34
2024-11-20,3,13,17,23,34,37,35,41
2024-11-27,7,17,19,29,31,39,1,37
2024-12-04,4,17,22,35,36,42,5,44
2024-12-18,2,12,15,22,40,45,9,42
2025-01-01,10,12,28,32,36,39,11,45
2025-01-15,4,12,20,23,32,35,16,25
2025-01-22,5,9,17,22,35,43,33,36
2025-01-29,6,11,13,17,22,42,25,28
2025-02-05,2,6,8,9,20,31,11,44
2025-03-05,4,19,26,33,34,38,14,35
2025-03-12,21,24,28,34,39,40,6,31
2025-03-26,5,10,19,21,36,41,15,27
2025-04-09,15,27,29,30,35,36,4,38
2025-04-23,3,10,11,18,20,37,22,32
2025-05-21,5,6,17,23,29,36,2,14
2025-06-04,11,12,21,22,34,36,4,30
2025-06-11,6,20,24,34,36,42,9,18
2025-07-09,7,14,22,32,37,42,13,41
2025-07-16,3,26,29,34,35,36,5,41
2025-07-30,1,17,20,27,35,39,16,21
2025-09-17,17,20,22,23,42,44,18,35
2025-10-01,3,7,16,22,24,37,20,33
2025-10-08,12,29,30,35,40,44,31,37
2025-10-15,10,13,25,31,32,36,22,26
2025-10-22,1,3,5,30,34,41,8,27
2025-10-29,5,7,10,20,22,35,27,45
2025-11-05,7,15,18,26,27,37,19,44
2025-11-19,13,25,26,35,42,43,5,24
2025-12-03,2,15,22,35,37,38,6,39
2025-12-31,2,6,9,22,40,42,27,28
2026-01-07,1,13,18,26,28,30,2,44
2026-02-11,5,15,26,27,40,41,16,32
2026-02-25,18,21,30,33,38,45,9,24
2026-03-04,4,13,16,40,43,45,7,15
2026-03-11,4,25,27,31,36,42,10,24
2026-03-18,10,11,26,31,38,43,18,21
2026-04-01,11,14,20,30,38,42,1,12
2026-04-08,1,4,32,34,35,40,7,10
2026-04-22,1,13,23,24,34,37,9,31
